content,keywords,rating,satisfaction,date,year,month,season,text_len
리뷰도 좋고 늘 인기도서에 있어서 기대하고 구매했는데 기대와는 너무 달라서 실망했어요 세계관 설정 자체는 좋으나 그 설정을 뒷받침 할 전체적인 스토리가 부실하고 뻔한 느낌입니다 별 다른 교훈도 느껴지지 않았고요 아쉽습니다,리뷰 좋다 인기 도서 기대하다 구매 기대 너무 달라 실망하다 세계관 설정 자체 좋다 설정 뒷받침 전체 스토리 부실하다 뻔하다 느낌 이다 다른 교훈 느껴지다 않다 아쉽다,3,Neutral,2020-11-21,2020,11,Fall,123
나만 재미가 없나 왜 이런책을 재밌다고 하는건지 저는 좀 이해가 안가네요 돈아까워요 읽고 싶은 책들이 너무 많은데 너무 후회가 됩니다 저는 완전 비추입니다,재미 없다 재밌다 건지다 이해 알다 아깝다 읽다 싶다 너무 많다 너무 후회 되다 완전 비추다 이다,2,Negative,2020-11-03,2020,11,Fall,86
평점이 좋고 베스트셀러에 인쇄만 290판 그래서 궁금해서 구입했는데 사실 좀 놀랐습니다 초등학생자녀가 있다면 자녀들에게 좋은 책인것같습니다 아이디어는 좋은데 사실 매 챕터가 캐릭터들의 단순 나열뿐이라 많이 아쉬웠습니다 그 캐릭터에 관한 연계성도 사실 좀 떨어진다고 생각합니다 하루만에 읽을수있습니다 쉽게 읽히고 어렵지 않은 내용이기에 단순하고 아쉽습니다 왜 베스트셀러일까 라는 생각을 해보니 누구나 쉽게 걱정없이 읽혀서 인것같네요 평점과 리뷰에 큰 기대하고 사시면 실망하실수있습니다 물론 저같은 사람도 있다고 리뷰 남기고 싶어 남깁니다 다 좋은 리뷰만 있어서 혹시나 큰 기대를 가지고 주문할까봐 남겨봅니다,평점 좋다 베스트셀러 인쇄 그래서 궁금하다 구입 사실 놀라다 초등학생 자녀 자녀 좋다 같다 아이디어 좋다 사실 채다 캐릭터 단순 나열 많이 아쉽다 캐릭터 사실 떨어지다 생각 하루 읽다 쉬다 읽히다 어렵다 않다 내용 이기 단순하다 아쉽다 베스트셀러 이다 생각 해보다 누구 쉬다 걱정 없이 읽히다 이다 같다 평점 리뷰 크다 기대하다 사시 실망하다 물론 같다 사람 리뷰 남다 싶다 남기다 좋다 리뷰 혹시 크다 기대 가지 주문 남기다 보다,2,Negative,2021-01-30,2021,1,Winter,338
참 따뜻한 이야기의 책입니다 처음부터 끝까지 마음을 몽글몽글 하게 만들어요 읽는 내내 위로 받는 느낌이었습니다 추운 겨울밤에 잘 어울리는 책 이라고 생각이 드네요,차다 따뜻하다 이야기 이다 처음 마음 몽글몽글 만들다 읽다 내내 위로 받다 느끼다 추다 겨울 자다 어울리다 생각 드네,5,Positive,2020-09-19,2020,9,Fall,90
어른이 읽어도 재밌네요 밤에 자려고 눈을 감을때마다 달러구트 백화점으로 가기를 바라게 되네요,어른 읽다 재밌다 자다 달러 구트 백화점 가기 바라다 되다,5,Positive,2020-09-28,2020,9,Fall,51
소재는 기발했지만 딱 그것만인 것 같아요 문장이 허술해서 한줄 한줄 턱턱 걸리네요 스토리 전개도 모두 예상이 가능해서 신선한 소재와 동떨어진 느낌입니다,소재 기발하다 그것 만인 같다 문장 허다 턱턱 걸리다 스토리 전개도 모두 예상 가능하다 신선하다 소재 동떨어지다 느낌 이다,2,Negative,2020-11-11,2020,11,Fall,84
오랜만에 아주 마음에 드는 세계관을 만났습니다 다음 권이 꼭 나왔으면 합니다 영화나 드라마나 소재로도 아주 좋을거 같아요,아주 마음 들다 세계관 만나다 다음 나오다 영화 드라마 소재 아주 좋다 같다,5,Positive,2020-08-21,2020,8,Summer,67
어떻게 이런 생각을 할 수 있었을까 특히 악몽을 새로운 관점에서 표현한 게 인상 깊었다,어떻다 이렇다 생각 특히 악몽 새롭다 관점 표현 인상 깊다,5,Positive,2020-10-23,2020,10,Fall,48
해리포터같은 파타지를 좋아하는데 만족스럽네요 감동적인 이야기 속에 세상을 사는 지혜를 주네요 사놓고 미루다가 언택트 명절을 맞아 3시간 집중해서 읽었네요 책 많이 읽으신분들은 더 빨리 후다닥 읽을수 있을거에요 후속 이야기 나오면 좋겠어요,해리포터 같다 파타 지르다 좋아하다 만족스럽다 감동 이야기 세상 살다 지혜 주네 사다 미루다 언택트 명절 맞다 집중 읽다 많이 읽다 신분 빨리 후다닥 읽다 후속 이야기 나오다 좋다,5,Positive,2020-10-01,2020,10,Fall,132
초반부 읽는 중인데 글쓴이가 국어공부를 제대로 하지 않은 티가 납니다 어색하거나 올바르지 않은 문장이 곳곳에 눈에 띄네요 또 국내작가가 우리말로 쓴 소설인데 등장인물의 이름들이 외래어라 그런지 꼭 외국어 번역 소설을 읽는 것 같아요 처음엔 꿈을 파는 백화점이라는 소재가 신선하다고 생각했는데 읽으면서 느끼는 건 백화점에서 꿈을 사다가 꾸면 원래 꾸는 꿈은 어떻게 되지 였어요 개연성이 부족한 게 아닌가 싶네요 조금 더 마저 읽어보긴 할 겁니다,초반 읽다 쓸다 국어 공부 제대로 않다 나다 어색하다 올바르다 않다 문장 곳곳 띄다 국내 작가 우리말 쓸다 소설 등장인물 이름 외래어 그렇다 외국어 번역 소설 읽다 같다 처음 팔다 백화점 소재 신선하다 생각 읽다 느끼다 백화점 다가 꾸다 원래 꾸다 어떻다 되다 이다 개연 부족하다 아니다 싶다 조금 마저 읽다 보다 겁니다,3,Neutral,2021-03-30,2021,3,Spring,247
해리포터를 기대했지만 노잼이었어요 왜 베스트에 있는지 모르겠음,해리포터 기대하다 노잼 이다 베스트 모르다,2,Negative,2020-09-29,2020,9,Fall,34
너무나도 포근하고 따뜻한 느낌이네요 마치 호그와트를 연상케하여 읽는 내내 넘 흥미롭고 행복해요,너무나도 포근하다 따뜻하다 느끼다 마치 호그와트 연상 읽다 내내 넘다 흥미 행복하다,5,Positive,2020-09-28,2020,9,Fall,52
잘읽히고 재미있어요 보는 동안 설레는 느낌으로 보게되는거 같아요,읽히다 재미있다 보다 동안 설레다 느낌 보다 되다 같다,5,Positive,2020-09-20,2020,9,Fall,35
잠이 들어야만 갈 수 있는 세계에 존재하는 꿈 백화점 그 곳에서 오늘 무슨 꿈을 꿀지 직접 골라 구매하고 꿈에서 깨어난 후 느끼는 감정이 꿈값 이 되어 백화점에 돌아간다는 신박한 설정 한국 판타지 세계관 중 단연 최고,들다 갈다 세계 존재 백화점 오늘 무슨 직접 고르다 구매 깨어나다 느끼다 감정 꿈값 되어다 백화점 돌아가다 설정 한국 판타지 세계관 단연 최고,5,Positive,2020-11-20,2020,11,Fall,121
