rating,date,content,content_len,content_preprocess,content_word_count,year,month,sentiment,bow_가다,bow_가볍다,bow_감동,bow_기분,bow_꾸다,bow_내용,bow_동화,bow_따뜻하다,bow_마음,bow_마지막,bow_많다,bow_백화점,bow_사람,bow_상상,bow_상상력,bow_생각,bow_소재,bow_술술,bow_시간,bow_신선하다,bow_어른,bow_이렇다,bow_읽히다,bow_작가,bow_잔잔하다,bow_재미있다,bow_재밌다,bow_좋다,bow_추천,bow_한국
5,2025-12-09,간결하고 군더더기 없는 문체에 독특한 세계관이 개인의 특색과 세심한 이야기를 묘사하고 있다. 마치 지브리의 어른용 만화영화를 한편 보는듯한 묘사들이 즐겁다. 깊이잇지만 가볍고 때론 유머러스한 오랜만에 유쾌하게 잘 만든 작품을 만난거 같다.,133,간결하다 군더더기 문체 독특하다 세계관 개인 특색 세심 묘사 마치 지브리 어르다 만화영화 한편 묘사 즐겁다 깊이 잇다 가볍다 때론 유머러스하다 유쾌하다 만들다 작품 만나다,31,2025,12,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2025-11-10,동화 같은 이야기. 잔잔한데 좀 심심하기도.,24,동화 잔잔하다 심심하다,6,2025,11,neutral,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2025-10-17,나도 들어가고 싶음...ㅎㅎ 동화임 정말로,23,나다 들어가다 동화 임,5,2025,10,positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025-02-20,"스트레스 받는 일상을 잠시 내려놓고, 잔잔하게 흘러가는 상상 속 동화 같은 이야기.",46,스트레스 받다 일상 잠시 내려놓다 잔잔하다 흘러가다 상상 속 동화,12,2025,2,positive,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,2025-01-28,술술 읽히는 책입니다. 많은 울림을 준다거나 배울 점이 있다거나 한 책은 아니지만 분명 생각해볼 지점들이 있었고 잔잔하게 동화 읽는 느낌으로 읽어나가기 좋습니다. 1권 이기는 속편 없다는 말처럼 이 책도 2부보다는 1부가 더 좋았습니다. 세계관을 좀 더 풀려는 시도는 좋았으나 각각의 스토리마다 너무 직접적으로 교훈을 주려는 느낌이라 정작 전체적인 흐름은 자연스럽지 않게 끊어진 채로 진행되는 느낌이었어요.,227,술술 읽히다 많다 울림 주다 배우다 분명 생각 해보다 지점 잔잔하다 동화 나가다 좋다 1 권 이기다 속편 말 2 부 1 부가 좋다 세계관 풀다 시도 좋다 각각 스토리 직접 교훈 주다 정작 전체 흐름 자연 끊어지다 채 진행,55,2025,1,neutral,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,3,0,0
5,2025-01-25,실제로 존재할 것같은 이야기! 감사합니다 💝,24,실제 존재 감사하다,6,2025,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2025-01-22,범죄도시3 4가 관객을 동원하는 이유. 이책의 별점이 4점이 넘어가는 이유. 다 같은 이유인 것이다. 시대는 회귀한다.,66,범죄 도시 3 4 가다 관객 동원 이유 4 넘어가다 이유 이유 시대 회귀,16,2025,1,negative,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2025-01-05,꿈꾸는 듯한 느낌. 꿈을 꾸고 싶은 날 생각날 것 같다ㅎㅎ아이들에게 들려주고싶은 이야기,48,꿈꾸다 듯 꿈 꾸다 날 생각나다 아이 들려주다,12,2025,1,positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-11-29,달러구트 꿈 백화점은 이전부터 유명해서 읽어보려고 했었습니다. 꿈에 대한 다양한 이야기들이 나와서 재미있었습니다. 그리고 주인공 페니의 이야기가 흥미로워서 페이지가 잘 넘어갔습니다.,101,달러 구트 꿈 백화점 이전 유명하다 꿈 대한 다양하다 재미있다 주인공 페니 흥미롭다 페이지 넘어가다,21,2024,11,positive,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2024-11-23,추천받고 읽고 있는데 초반은 재미없다가도 본격 에피 들어가니 빠져드네요 유치하다 느낄 수도 있겠지만 제 입장에선 책읽는 동안이나마 아이의 순수한 상상력 속으로 들어간 것 같고 좋았습니다 어렵지 않은 이야기들이라 가볍게 읽기 좋은것같아요,131,추천 받다 초반 재미없다 본격 에피 들어가다 빠지다 드 유치하다 수도 제 입장 동안 아이 순수하다 상상력 속 들어가다 좋다 어렵다 가볍다 좋다,31,2024,11,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
5,2024-11-11,인기있는책에는 이유가 있다. 꿈에대한 재미있는 상상. 그리고 완벽한 에필로그,42,인기 이유 꿈 대한 재미있다 상상 완벽하다 에필로그,9,2024,11,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2024-08-29,"익숙하면서도 때론 진부한 소재인 꿈을 가지고 훌륭하게 내 상상력을 자극한 책. 문학적으론 어떨지 몰라도 솜씨 좋게 개개인의 동심을 이끌어내는데 성공했다고 본다. 30대가 되어서야 독서에 취미를 붙인 사람으로서, 이런 책을 내가 청소년이었을 때 읽어봤다면 책을 담쌓지 않았을 텐데.  왜 그땐 그리 책을 멀리했을까.",175,익숙하다 때론 진부하다 소재 꿈 가지 훌륭하다 내 상상력 자극 문학 어떻다 모르다 솜씨 좋다 개개인 동심 이끌다 성공하다 30 대가 되어다 독서 취미 붙이다 사람 이렇다 내 청소년 때 담 쌓다 왜 그땐 그리다 멀리,42,2024,8,positive,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
5,2024-08-13,몰입감이 좋았고 마지막엔 감동과 슬픔도 느꼈던 재미있는 소설,33,몰입 감 좋다 마지막 감동 슬픔 재미있다,8,2024,8,positive,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
5,2024-06-05,디즈니 애니메이션 한편을 본 듯하고 어쩌면 그 이상입니다. 꼭 애니메이션이나 영화로 제작되었으면 좋겠습니다!  달러구트의 꿈 백화점이 오늘 밤 내 꿈에 나왔으면 좋겠어요 ㅎㅎ,97,디즈니 애니메이션 한편 듯 어쩌면 이상 꼭 애니메이션 영화로 제작 되어다 좋다 달러 구트 꿈 백화점 오늘 밤 내 꿈 좋다,23,2024,6,positive,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
4,2024-03-06,요즘 너무 꾸고싶은꿈을 꿈백화점에서 사고싶네여,25,요즘 꾸다 꿈 꿈 백화점 사고,5,2024,3,positive,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-03-04,환상동화. 간만에 흐뭇한 소설이었습니다. 2편 보러 가야지!,33,환상 동화 간만 흐뭇하다 2 편 가야,7,2024,3,positive,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-02-01,달러구트의 꿈백화점을 읽으면서 저도 어렸을때 부모님과함께한 추억이 떠올랐습니다. 꿈속에서 다시한번 따뜻한 느낌을 받은것 같습니다. 잘 읽었습니다.,81,달러 구트 꿈 백화점 어리다 때 부모님 추억 떠오르다 꿈속 다시 한번 따뜻하다 받다,16,2024,2,positive,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2024-01-06,"가볍게 읽기 좋은, 꿈처럼 쉼표같은 책",21,가볍다 좋다 꿈 쉼표,6,2024,1,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2023-12-04,너무 재미있게 잘 봤어요.,14,재미있다,4,2023,12,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,2023-08-26,소소하고 여유있게 잘 읽힌것 같습니다,20,소소하다 여유 읽히다,5,2023,8,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,2023-07-22,가볍게 보기에 충분했어요,13,가볍다 보기 충분하다,3,2023,7,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
