rating,date,content,content_preprocess,content_len,content_word_count,year,month,weekday,sentiment,bow_가다,bow_가볍다,bow_감동,bow_기대,bow_꾸다,bow_내용,bow_동화,bow_따뜻하다,bow_마음,bow_받다,bow_백화점,bow_베스트셀러,bow_상상력,bow_생각,bow_선물,bow_소설,bow_소재,bow_시간,bow_신선하다,bow_아이,bow_이야기,bow_읽히다,bow_자다,bow_재미,bow_재미있다,bow_재밌다,bow_좋다,bow_주문,bow_추천,bow_흥미롭다
1.0,2020-12-20,이상하게 저는 재미가 없네요. 제목과 독서평에 낚인 느낌 마지막에 약간 울컥한 장면은 있었,이상하다 재미 제목 독서 평 낚 마지막 약간 장면,50,13,2020,12,6,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2021-05-06,정말 지루하고... 읽는내내 심심했던 책,지루하다 심심하다,22,5,2021,5,3,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2021-05-21,왜 베스트셀러인지...저에겐 좀...,왜 베스트셀러 좀,20,3,2021,5,4,negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2021-05-25,당췌 뭔 내용인지..,당췌 내용,11,3,2021,5,1,negative,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2021-02-01,이게 왜 배스트? 재미? 감동? 아무것도 없는데 .. 돈도 아깝고 시간이 더 아깝고..,왜 배스 트 재미 감동 돈 아깝다 시간 아깝다,48,13,2021,2,0,negative,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1.0,2021-02-24,책장이 멈춰버렸다 손이 가지않네.... 왜 베스트셀러이고 이렇게 평정이 좋은걸까....,책장 멈추다 버리다 손 가지 왜 베스트셀러 평정 좋다 끄다,48,9,2021,2,2,negative,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.0,2020-11-28,유치한듯,유치하다,4,1,2020,11,5,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2021-05-05,너무 재미있어서 비슷한책 찾고있어요,재미있다 비슷하다 찾다,19,4,2021,5,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5.0,2021-01-28,마음이 따뜻해져요. 읽은 뒤 꿈 백화점 가는 상상을 해볼 때면 참 행복해집니다. 감사해요!,마음 따뜻하다 뒤 꿈 백화점 가다 상상 해보다 때 차다 행복하다 지다 감사하다,50,13,2021,1,3,positive,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2020-12-19,글이 잘 읽히고 신선하긴 한데 기승전결에서 다이나믹한 재밋는 부분이 없습니다.,글 자다 읽히다 신선하다 기승 전결 다이나믹 재밋는 부분,43,10,2020,12,5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
2.0,2021-08-04,인내심으로 읽었다. 살 필요까진 없다.,인내심 살 필요,21,5,2021,8,2,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.0,2021-03-30,상상력을 뒷받침해줄 필력의 부재,상상력 뒷받침 해주다 필 부재,17,4,2021,3,1,negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2021-01-15,별 1점 주기도 아까워요 엄청 기대했는데 사건이 일어나지도 않고 지루해요,별 1 점 주기도 아깝다 기대하다 사건 일어나지 지루하다,40,10,2021,1,4,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2022-07-06,웹소설 보다 못한 상상력. 한권을 다 읽을 수 없는 유치함.,웹소설 못 상상력 권 유치하다,33,10,2022,7,2,negative,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2021-08-18,엄청 기대했는데 ..너무 평이한 내용에 문장력 좋은줄모르겠고 ..제목만 환상적으로 이쁘네요,기대하다 평이하다 내용 문장 좋다 은줄 모르다 제목 환상 이쁘다,50,10,2021,8,2,neutral,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2021-05-13,별로...,별로,5,1,2021,5,3,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.0,2021-01-23,소재는 신선하지만 왜 베스트셀러인지 모르겠음,소재 신선하다 왜 베스트셀러 모르다,24,5,2021,1,5,neutral,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2.0,2020-12-25,그냥 그래요.. 티비에서 많이보는 사연들 묶어놓은..,그냥 그렇다 티비 보 사연 묶다,29,6,2020,12,4,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2021-01-05,책값아까워 의무감으로 읽은 책... 읽는 내내 재미없다가 연신 나왔네요...,책값 아깝다 의무감 내내 재미없다,42,9,2021,1,1,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5.0,2021-07-21,잠들기전에 생각나는 책,잠들다 기전 생각나다,12,3,2021,7,2,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4.0,2020-12-13,그냥...한번읽기 좋음.근데 나는 책한권에 내가 인상싶은 한문장만있어도 성공했다고 생각함,그냥 한번 좋다 나 권 내 인상 문장 성공하다 생각 함,49,9,2020,12,6,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3.0,2021-05-27,베스트라 샀는데 그냥 그랬다 뭔가 있을까 기대하며 읽었는데 그냥 그게 다였다.,베스트 사다 그냥 그렇다 뭔가 기대하다 그냥 그게,43,11,2021,5,3,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0,2021-03-15,시작은 좋으나,시작 좋다,7,2,2021,3,0,negative,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5.0,2021-07-06,평소에 긴 글 잘 못 읽는데 거의 3일 만에 다 읽었어요 재밌어요,평소 기다 글 자다 못 거의 3일 재밌다,36,12,2021,7,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5.0,2021-05-11,좋아요 악몽도 이길수 있을거 같아요^^,좋다 악몽 이기다,21,5,2021,5,1,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
