rating, date, content
"5","2025.12.09","간결하고 군더더기 없는 문체에 독특한 세계관이 개인의 특색과 세심한 이야기를 묘사하고 있다. 마치 지브리의 어른용 만화영화를 한편 보는듯한 묘사들이 즐겁다. 깊이잇지만 가볍고 때론 유머러스한 오랜만에 유쾌하게 잘 만든 작품을 만난거 같다."
"3","2025.11.10","동화 같은 이야기. 잔잔한데 좀 심심하기도."
"4","2025.10.17","나도 들어가고 싶음...ㅎㅎ 동화임 정말로"
"5","2025.02.20","스트레스 받는 일상을 잠시 내려놓고, 잔잔하게 흘러가는 상상 속 동화 같은 이야기."
"3","2025.01.28","술술 읽히는 책입니다. 많은 울림을 준다거나 배울 점이 있다거나 한 책은 아니지만 분명 생각해볼 지점들이 있었고 잔잔하게 동화 읽는 느낌으로 읽어나가기 좋습니다. 1권 이기는 속편 없다는 말처럼 이 책도 2부보다는 1부가 더 좋았습니다. 세계관을 좀 더 풀려는 시도는 좋았으나 각각의 스토리마다 너무 직접적으로 교훈을 주려는 느낌이라 정작 전체적인 흐름은 자연스럽지 않게 끊어진 채로 진행되는 느낌이었어요."
"5","2025.01.25","실제로 존재할 것같은 이야기! 감사합니다 💝"
"1","2025.01.22","범죄도시3 4가 관객을 동원하는 이유. 이책의 별점이 4점이 넘어가는 이유. 다 같은 이유인 것이다. 시대는 회귀한다."
"5","2025.01.05","꿈꾸는 듯한 느낌. 꿈을 꾸고 싶은 날 생각날 것 같다ㅎㅎ아이들에게 들려주고싶은 이야기"
"5","2024.11.29","달러구트 꿈 백화점은 이전부터 유명해서 읽어보려고 했었습니다. 꿈에 대한 다양한 이야기들이 나와서 재미있었습니다. 그리고 주인공 페니의 이야기가 흥미로워서 페이지가 잘 넘어갔습니다."
"5","2024.11.23","추천받고 읽고 있는데 초반은 재미없다가도 본격 에피 들어가니 빠져드네요 유치하다 느낄 수도 있겠지만 제 입장에선 책읽는 동안이나마 아이의 순수한 상상력 속으로 들어간 것 같고 좋았습니다 어렵지 않은 이야기들이라 가볍게 읽기 좋은것같아요"
"5","2024.11.11","인기있는책에는 이유가 있다. 꿈에대한 재미있는 상상. 그리고 완벽한 에필로그"
"5","2024.08.29","익숙하면서도 때론 진부한 소재인 꿈을 가지고 훌륭하게 내 상상력을 자극한 책. 문학적으론 어떨지 몰라도 솜씨 좋게 개개인의 동심을 이끌어내는데 성공했다고 본다. 30대가 되어서야 독서에 취미를 붙인 사람으로서, 이런 책을 내가 청소년이었을 때 읽어봤다면 책을 담쌓지 않았을 텐데.  왜 그땐 그리 책을 멀리했을까."
"5","2024.08.13","몰입감이 좋았고 마지막엔 감동과 슬픔도 느꼈던 재미있는 소설"
"5","2024.06.05","디즈니 애니메이션 한편을 본 듯하고 어쩌면 그 이상입니다. 꼭 애니메이션이나 영화로 제작되었으면 좋겠습니다!  달러구트의 꿈 백화점이 오늘 밤 내 꿈에 나왔으면 좋겠어요 ㅎㅎ"
"4","2024.03.06","요즘 너무 꾸고싶은꿈을 꿈백화점에서 사고싶네여"
"5","2024.03.04","환상동화. 간만에 흐뭇한 소설이었습니다. 2편 보러 가야지!"
"5","2024.02.01","달러구트의 꿈백화점을 읽으면서 저도 어렸을때 부모님과함께한 추억이 떠올랐습니다. 꿈속에서 다시한번 따뜻한 느낌을 받은것 같습니다. 잘 읽었습니다."
"5","2024.01.06","가볍게 읽기 좋은, 꿈처럼 쉼표같은 책"
"5","2023.12.04","너무 재미있게 잘 봤어요."
"5","2023.08.26","소소하고 여유있게 잘 읽힌것 같습니다"
"5","2023.07.22","가볍게 보기에 충분했어요"
"5","2023.06.08","재미있게 봤습니다. 킬링타임용으로 그만입니다. 머리가 무겁고 가볍게 읽을거리를 찾는 분들에게 적당한 책입니다. 꿈이라는 공간에 관심이 많은 저로서는 이야기흐름보다는 설정과 공간이 마음에 들었습니다. 마치 아이들 디즈니만화 소피아공주의 마을과 그안에서 크리스마스인 바사일리아를 연상케하는 에피는 예전의 시끌시끌하던 크리스마스 연말연시를 떠올리게 하여 너무 좋았습니다."
"1","2023.06.04","이 책이 어떻게 이런 평점을 가질 수 있는지 의문이드네요. 스토리 라인이라는 것도 없고 그냥 꿈 이라는 소재에 살만 붙여서 아무런 재미가 없습니다. 그냥 말 그대로 무 재미 입니다. 재미라는게 존재하지 않아요."
"5","2023.04.18","이 책을 사기 전 리뷰를 봤는데, 어린이용 판타지 소설 같다는 리뷰를 보고 잠깐 고민했습니다. 하지만 책을 많이 읽지 못한 회사원이 판타지를 꿈꾸기에는 너무나도 완벽한 책이었어요. 공감가는 구절도 많고, 감동을 받거나, 깨달음을 얻기도 했습니다. 근래 읽은 책 중 가장 최고의 책이었어요. 잘 읽었습니다 :)"
"4","2023.04.17","소재는 신선한데 전개가 조금 아쉬운듯"
"4","2023.01.19","신선한 소재이긴하지만 솔직하게 이것저것섞인 느낌이라 아쉬웠어요"
"5","2023.01.14","글을 읽으면서 상상의 나래를 펼치게 되는 그런 책이었다. 오랜만에 읽은 너무 재미있는 책이어서 2편이 기대가 된다."
"3","2023.01.05","호텔 델루나 같은 느낌. 꿈이라는 소재가 신박했음. 에피소들에 양념을 더하면 드라마나 영화로 제작될 수 있을 것 같다."
"4","2022.11.17","꿈이라는 소재로 재미있게 이야기를 들려줍니다. 신선하고 재미있었습니다"
"5","2022.11.16","잼있어여!! :) 작가님의 다른 책들이 기대되여"
"5","2022.10.28","재밌어용!! 순식간에 다 읽었네여"
"5","2022.10.23","재미있게 읽었음 2권 기대됨"
"5","2022.09.28","재밌고 상상속의 귀여운 이야기들 술술 읽혀요"
"5","2022.09.16","진짜 오랜만에 여운남고 편안한 소설을 읽었네요"
"5","2022.08.31","오랜만에 술술 읽히는 책이었어요."
"5","2022.08.26","이 책을 봄과 동시에 내 마음속에 작은 봄이 왔다."
"5","2022.08.12","해리포터 이후 가장 상상력을 자극한 이야기"
"4","2022.08.05","여운이 남는 스토리"
"5","2022.07.27","정말 울고 웃고 여운이 남을 수 밖에없다. 기분 좋은 꿈을 꾼듯한 -"
"5","2022.07.14","여운이 남는 짤막한 이야기들이 많네요"
"5","2022.07.06","최고에요 꿈을 자주 꾸는 편이고 깨고나서도 남아있는 여운에 슬플때가 많은데 이 소설 덕분에 울고 웃고 다했어요 뭔가 위로가 되네요"
"5","2022.07.04","어느새 어른이 된 내가 이 책을 읽는 동안 동화책 한권을 선물받은 어린아이가 된 기분이 든다."
"5","2022.06.30","진짜 재밋다... 도서관 예약 기다리다가 꽉차서 결국 구매해서 본건데 후회없음"
"5","2022.06.30","할머니랑 추억이 없는데도 울었네.."
"5","2022.06.15","친구 추천으로 읽게 됐는데 넘 재밌네요 동화같기도 하고 흔히 특별하게 느끼는 꿈들을 소재로 이야기를 보니까 진짜 이런 거였음 좋겠다는 생각도 들어요"
"5","2022.06.12","뽐내지 않고 읽는 사람을 편하게 해주는 문체로 꿈같은 이야기를 현실적으로 풀어낸다. 과하지 않게 내 삶을 찬찬히 들여다 볼 수 있게 해준 좋은 책"
"5","2022.06.09","너무너무 재밌는 책이였어요!!"
"4","2022.05.30","그냥 꿈이 아닌 바쁜 현대인들의 삶을 돌아볼 수 있는 여유를 주는거 같아요 잘 읽었습니다"
"5","2022.05.25","누구나 읽기 쉬운책이에요."
"4","2022.05.04","꿈을 판다는 아이디어가 참 좋네요. 한 수 배우고 갑니다."
"4","2022.05.03","책읽기가 어려운 저에게도 쉽게읽히고 잘 집중이되는 책이었습니다 큰 여운이 있는 책은 아니지만 읽고나서 좀 더 순수해지는 느낌이 들어서 기분 좋은 책 인것 같습니다"
