rating,date,content
1,2020-12-20,이상하게 저는 재미가 없네요. 제목과 독서평에 낚인 느낌 마지막에 약간 울컥한 장면은 있었
1,2021-05-06,정말 지루하고... 읽는내내 심심했던 책
2,2021-05-21,왜 베스트셀러인지...저에겐 좀...
1,2021-05-25,당췌 뭔 내용인지..
1,2021-02-01,이게 왜 배스트? 재미? 감동? 아무것도 없는데 .. 돈도 아깝고 시간이 더 아깝고..
1,2021-02-24,책장이 멈춰버렸다 손이 가지않네.... 왜 베스트셀러이고 이렇게 평정이 좋은걸까....
1,2020-11-28,유치한듯
5,2021-05-05,너무 재미있어서 비슷한책 찾고있어요
5,2021-01-28,마음이 따뜻해져요. 읽은 뒤 꿈 백화점 가는 상상을 해볼 때면 참 행복해집니다. 감사해요!
3,2020-12-19,글이 잘 읽히고 신선하긴 한데 기승전결에서 다이나믹한 재밋는 부분이 없습니다.
2,2021-08-04,인내심으로 읽었다. 살 필요까진 없다.
2,2021-03-30,상상력을 뒷받침해줄 필력의 부재
1,2021-01-15,별 1점 주기도 아까워요 엄청 기대했는데 사건이 일어나지도 않고 지루해요
1,2022-07-06,웹소설 보다 못한 상상력. 한권을 다 읽을 수 없는 유치함.
3,2021-08-18,엄청 기대했는데 ..너무 평이한 내용에 문장력 좋은줄모르겠고 ..제목만 환상적으로 이쁘네요
3,2021-05-13,별로...
3,2021-01-23,소재는 신선하지만 왜 베스트셀러인지 모르겠음
2,2020-12-25,그냥 그래요.. 티비에서 많이보는 사연들 묶어놓은..
1,2021-01-05,책값아까워 의무감으로 읽은 책... 읽는 내내 재미없다가 연신 나왔네요...
5,2021-07-21,잠들기전에 생각나는 책
4,2020-12-13,그냥...한번읽기 좋음.근데 나는 책한권에 내가 인상싶은 한문장만있어도 성공했다고 생각함
3,2021-05-27,베스트라 샀는데 그냥 그랬다 뭔가 있을까 기대하며 읽었는데 그냥 그게 다였다.
1,2021-03-15,시작은 좋으나
5,2021-07-06,평소에 긴 글 잘 못 읽는데 거의 3일 만에 다 읽었어요 재밌어요
5,2021-05-11,좋아요 악몽도 이길수 있을거 같아요^^
5,2021-05-02,판타지와 현실교훈의 적절한 조화! 읽는내내 재밌고 유쾌해요
5,2021-04-29,이 책에서 실제로 한 번씩은 꿔봤던 꿈들이 어떻게 만들어지는지 의미가 무엇인지 알려줘서
4,2020-10-30,추천사에 비해선 그냥 평범한거 같은데;; 나만 그른가
3,2021-08-19,다시 읽어봐야 할듯 하네요 전 별로 재미 없던데 ㅠㅠ
1,2021-01-04,"쉽고재미있게읽히는책,베스트셀러라고해서 구입  다수의생각과 다른 나를 또한번 발견한시간"
5,2021-11-11,재미있게 잘 읽었습니다.
5,2021-09-13,읽는 내내 소중한 시간을 보낸 기분입니다. 재밌습니다
5,2021-06-11,단숨에 읽은 책. 실제로 달러구트 꿈 백화점이 있기를 소망하며 편안한 잠을 잤습니다.
5,2021-04-22,책이 도착하자마자 하루만에 읽었다. 적극 추천!!
3,2021-07-03,한국의 해리포터...이런 마케팅에... 제 기대가 너무 컸어요.
3,2020-12-21,감동적인 부분이 있긴 한데 평범합니다. 소재는 분명 신선한데 식은 호빵을 먹는 기분?
5,2021-06-07,잘 읽겠습니당
5,2021-06-01,재밌어요 4번 읽음
5,2021-05-30,너무 재밌어요 베스트는 베스트인 이유가 있네요
5,2021-05-29,편하게 읽을만해요
5,2021-05-28,읽어보니 딸에게도 추천할 만한 책이네요
5,2021-05-18,술술읽히네요
5,2021-05-13,잘보고있어요
5,2021-05-13,재밌게 봤어요
5,2021-05-12,재밌습니자
5,2021-05-11,재밌어요.
5,2021-05-09,좋아요 좋아요 좋아요 좋아요
5,2021-05-06,좋음
5,2021-05-05,재밌어요
5,2021-05-05,너무 재밌게 읽었고 마지막엔 눈물 흘리면서 읽었어요.. 후속작도 나왔으면 좋겠어요~
5,2021-05-02,중학생 읽고 또 읽고.몰입도가 좋은 책
5,2021-05-02,어릴때 동화책 읽던 그 느낌
5,2021-05-01,배송도 빠르고 너무 좋습니다
5,2021-05-01,오랜만에 집중해서 책을 읽었습니다!!
5,2021-04-29,너무재밋어용
5,2021-04-29,미소지으며 읽어내려갈 수 있느 기분좋은 소설이었습니다.
5,2021-04-28,잘받았습니다 좋아요
5,2021-04-26,몽글몽글 포근한 소설!너무 재밌게 봤어요^^
5,2021-04-22,재밌어요ㅡㅡ
5,2021-04-21,재밌어요
5,2021-04-12,꿈이 두렵지 않게
5,2021-04-10,재미있게 잘 읽어지는 책이네요. 끝부분이 조금 아쉽지만 재미있었습니다
5,2021-01-26,딸과 같이 읽으려구요.기대됩니다.
4,2021-05-04,시리즈로 나오면 좋을듯 싶네요
4,2021-04-29,내가 주문하고 아들에게 빼앗긴 책
4,2021-04-28,재밌어요
3,2021-08-30,베스트셀러까진 아닌것 같은데?그저그래요ㅎ 뒤에 무슨내용이 더 있을까 하고 봤는데 없네요
3,2021-08-04,생각보다 흥미롭지는 않은 것 같아요
3,2021-08-02,이거저거 섞어놓은듯한 느낌도 들고 뭔가 너무 꾸며진듯한 기분. 겨우겨우 완독했음.
3,2021-03-25,"베스트라 구입해봤는데, 저에게는 흡입력이 조금 떨어지네요."
3,2020-11-06,소재는 재미있으나 한권으로 되어있어서 그런지 디테일이 부족하다는 생각이 드네요
5,2024-01-15,"초6딸, 내용이 초반부터 빨려들어간다고 너무 좋아합니다."
5,2023-12-23,꿈에 대한 진지한 고찰과 인간사회에 대한 고민이 담겨있네요
5,2021-12-28,재미있게 읽은 책
5,2021-11-07,감사합니다 잘읽었습니다
5,2021-10-06,추천합니다.
5,2021-09-15,재밌게 잘봤습니다
5,2021-08-26,어른들이 읽기에도 여러 가지 생각할 거리가 있는 책이네여
5,2021-08-22,고2딸래미 휴식시간에 읽겠다고 주문
5,2021-07-13,재밋어요~!!
5,2021-07-10,재밋슴다
5,2021-07-08,방학 기념 책을 오랜만에 읽었습니다 재밌어요 다른 사람한테 추천해줘도 될 것 같아요
5,2021-07-05,재밌어요.
5,2021-07-04,술술 읽히고 재밌어서 추천 많이 했어요
5,2021-07-03,재밌게 잘 읽었어요
5,2021-06-18,재미있어요
5,2021-06-14,소재도 독특하고 재밌어요.
5,2021-06-13,정말 기대하고 구매했습니다.. 재미있게 잘 읽어질것 같아요
5,2021-06-13,아이가 그자리에서 다 읽네요
5,2021-06-11,재밌어요
5,2021-06-11,넘 재미있게 잘  읽었습니다
5,2021-06-11,오랫만에 재미있는 책을 만났네요. 적극 추천합니다
5,2021-06-10,재미있어요-~^^
5,2021-06-10,잘 읽겠습니다.
